date,dayOfWeek,weekNumber,createdAt,updatedAt
2021-08-23,1,35,9/7/20 16:41,9/7/20 16:41
2021-08-24,2,35,9/7/20 16:41,9/7/20 16:41
2021-08-25,3,35,9/7/20 16:41,9/7/20 16:41
2021-08-26,4,35,9/7/20 16:41,9/7/20 16:41
2021-08-27,5,35,9/7/20 16:41,9/7/20 16:41
2021-08-28,6,35,9/7/20 16:41,9/7/20 16:41
2021-08-29,0,36,9/7/20 16:41,9/7/20 16:41
2021-08-30,1,36,9/7/20 16:41,9/7/20 16:41
2021-08-31,2,36,9/7/20 16:41,9/7/20 16:41
2021-09-01,3,36,9/7/20 16:41,9/7/20 16:41
2021-09-02,4,36,9/7/20 16:41,9/7/20 16:41
2021-09-03,5,36,9/7/20 16:41,9/7/20 16:41
2021-09-04,6,36,9/7/20 16:41,9/7/20 16:41
2021-09-05,0,37,9/7/20 16:41,9/7/20 16:41
2021-09-06,1,37,9/7/20 16:41,9/7/20 16:41
